name,state,summit,drop,base,total_lifts,runs,terrain_parks,longest_run,skiable_terrain,night_skiing,avg_adult_price
Alyeska Resort,Alaska,3939,2500,250,7,76,2,1,1610,1,75
Eaglecrest Ski Area,Alaska,2600,1540,1200,4,36,1,2,640,1,50
Hilltop Ski Area,Alaska,2090,294,1796,3,13,1,1,30,1,32
Arizona Snowbowl,Arizona,11500,2300,9200,8,55,4,2,777,0,89
Sunrise Park Resort,Arizona,11100,1800,9200,7,65,2,1.2,800,1,76
Yosemite Ski & Snowboard Area,California,7800,600,7200,5,10,2,0.4,88,0,47
Bear Mountain,California,8805,1665,7140,12,27,14,1.5,198,1,94
Bear Valley,California,8500,1900,6600,10,67,2,1.2,1680,0,99
Boreal Mountain Resort,California,7700,500,7200,8,33,6,1,380,1,76.5
Dodge Ridge,California,8200,1600,6600,12,67,5,2,862,0,78
Donner Ski Ranch,California,8012,750,7031,8,52,2,1.5,505,0,75
Heavenly Mountain Resort,California,10067,3500,7170,28,97,3,5.5,4800,0,154
June Mountain,California,10090,2590,7545,7,41,2,2,1500,0,139
Kirkwood,California,9800,2000,7800,12,85,2,2.5,2300,0,117
Mammoth Mountain Ski Area,California,11053,3100,7953,25,154,7,3,3500,0,154
Mt. Shasta Ski Park,California,6890,1435,5500,4,32,2,1.1,425,0,54
Mountain High,California,8200,1600,6600,14,59,1,1.6,290,1,84
Mt. Baldy,California,8600,2100,6500,4,26,0,2.5,400,0,69
Northstar California,California,8610,2280,6330,20,100,9,1.4,3170,0,160
Sierra-at-Tahoe,California,8852,2212,6640,14,46,6,2.5,2000,0,107.5
Ski China Peak,California,8709,1679,7030,11,45,1,2.2,1400,0,83
Snow Summit,California,8200,1200,7000,16,27,6,1.2,240,1,99
Snow Valley,California,7841,1041,6800,12,28,6,1.2,240,1,74
Soda Springs,California,7352,652,6700,4,18,0,0.4,200,0,50
Squaw Valley - Alpine Meadows,California,9050,2850,6200,42,230,5,3.2,6000,0,169
Sugar Bowl Resort,California,8383,1500,6883,12,105,3,3,1650,0,125
Tahoe Donner,California,7350,600,6750,5,14,2,1,120,0,69
Arapahoe Basin Ski Area,Colorado,13050,2530,10780,9,145,3,1.5,1428,0,85
Aspen / Snowmass,Colorado,12510,4406,8104,40,336,10,5.3,5517,0,179
Beaver Creek,Colorado,11440,3340,8100,24,150,3,2.8,1832,0,199
Breckenridge,Colorado,12998,3398,9600,34,187,4,3.5,2908,0,179
Copper Mountain Resort,Colorado,12313,2738,9712,24,150,6,1.7,2527,0,158
Crested Butte Mountain Resort,Colorado,12162,3062,9375,14,121,4,2.6,1547,0,99
Purgatory,Colorado,10822,2029,8793,12,101,9,1.3,1605,0,89
Eldora Mountain Resort,Colorado,10600,1400,9200,10,65,8,3,680,0,99
Howelsen Hill,Colorado,7136,440,6696,4,17,1,6,50,1,25
Keystone,Colorado,12408,3128,9280,20,128,1,3.5,3148,1,169
Loveland,Colorado,13010,2210,10800,10,94,1,2,1800,0,79
Monarch Mountain,Colorado,11952,1162,10790,7,64,2,1,800,0,89
Powderhorn,Colorado,9850,1650,8200,5,42,2,1.5,1600,0,71
Silverton Mountain,Colorado,13487,3087,10400,1,69,0,1.5,26819,0,79
