name,state,summit,drop,total_lifts,runs,avg_adult_price
Alyeska Resort,Alaska,3939,2500,7,76,75
Eaglecrest Ski Area,Alaska,2600,1540,4,36,50
Hilltop Ski Area,Alaska,2090,294,3,13,32
Arizona Snowbowl,Arizona,11500,2300,8,55,89
Sunrise Park Resort,Arizona,11100,1800,7,65,76
Yosemite Ski & Snowboard Area,California,7800,600,5,10,47
Bear Mountain,California,8805,1665,12,27,94
Bear Valley,California,8500,1900,10,67,99
Boreal Mountain Resort,California,7700,500,8,33,76.5
Dodge Ridge,California,8200,1600,12,67,78
Donner Ski Ranch,California,8012,750,8,52,75
Heavenly Mountain Resort,California,10067,3500,28,97,154
June Mountain,California,10090,2590,7,41,139
Kirkwood,California,9800,2000,12,85,117
Mammoth Mountain Ski Area,California,11053,3100,25,154,154
Mt. Shasta Ski Park,California,6890,1435,4,32,54
Mountain High,California,8200,1600,14,59,84
Mt. Baldy,California,8600,2100,4,26,69
Northstar California,California,8610,2280,20,100,160
Sierra-at-Tahoe,California,8852,2212,14,46,107.5
Ski China Peak,California,8709,1679,11,45,83
Snow Summit,California,8200,1200,16,27,99
Snow Valley,California,7841,1041,12,28,74
Soda Springs,California,7352,652,4,18,50
Squaw Valley - Alpine Meadows,California,9050,2850,42,230,169
Sugar Bowl Resort,California,8383,1500,12,105,125
Tahoe Donner,California,7350,600,5,14,69
Arapahoe Basin Ski Area,Colorado,13050,2530,9,145,85
Aspen / Snowmass,Colorado,12510,4406,40,336,179
Beaver Creek,Colorado,11440,3340,24,150,199
Breckenridge,Colorado,12998,3398,34,187,179
Copper Mountain Resort,Colorado,12313,2738,24,150,158
Crested Butte Mountain Resort,Colorado,12162,3062,14,121,99
Purgatory,Colorado,10822,2029,12,101,89
Eldora Mountain Resort,Colorado,10600,1400,10,65,99
Howelsen Hill,Colorado,7136,440,4,17,25
Keystone,Colorado,12408,3128,20,128,169
Loveland,Colorado,13010,2210,10,94,79
Monarch Mountain,Colorado,11952,1162,7,64,89
Powderhorn,Colorado,9850,1650,5,42,71
Silverton Mountain,Colorado,13487,3087,1,69,79
Cooper,Colorado,11700,1200,4,41,56
Ski Granby Ranch,Colorado,9202,1000,5,40,84
Sunlight Mountain Resort,Colorado,9895,2010,3,67,65
Telluride,Colorado,13150,4425,17,148,139
Vail,Colorado,11570,3450,31,195,199
Winter Park Resort,Colorado,12060,3060,25,166,169
Wolf Creek Ski Area,Colorado,11904,1604,10,120,72
Mohawk Mountain,Connecticut,1600,650,8,25,47.5
Mount Southington Ski Area,Connecticut,525,425,7,14,60
Powder Ridge Park,Connecticut,720,550,5,19,50
Ski Sundown,Connecticut,1075,625,5,16,62
Woodbury Ski Area,Connecticut,730,300,5,12,42
Bogus Basin,Idaho,7582,1800,11,91,64
